id,token,name,notes,created_at,updated_at,status,due_date,status_updated_at,assignee,section,project,tags,checklists,comments
156493536,280lIWnd,Разработка API,,2023-04-10T17:30:53+00:00,2023-04-24T06:47:59+00:00,1,2023-05-01T18:00:00+00:00,2023-04-10T17:30:53+00:00,Vadim Egorov,Открытые,BoardGameMeet,,,
156493570,f8jsDuw2,Создание чата,,2023-04-10T17:31:31+00:00,2023-04-10T17:32:50+00:00,1,,2023-04-10T17:31:31+00:00,Денис Карташов,Открытые,BoardGameMeet,,,
156493331,WQvlEZzS,Разработка дизайна приложения,,2023-04-10T17:25:16+00:00,2023-04-23T19:51:59+00:00,1,,2023-04-10T17:25:16+00:00,Денис Корчагин,В процессе,BoardGameMeet,'+ваня,Контрольный список: [x] Разработать дизайн начального экрана [ ] Разработать дизайн приветствующих экранов [x] Разработать дизайн экрана Мои мероприятия [x] Разработать дизайн экрана Авторизация [x] Разработать дизайн экранов регистрации [x] Разработать дизайн экранов восстановления пароля [ ] Разработать дизайн экрана профиля [ ] Разработать дизайн экрана редактирования профиля [x] Разработать дизайн экрана просмотра мероприятия [ ] Разработать дизайн экрана создания и редактирования мероприятия [ ] Разработать дизайн экрана просмотра участников мероприятия [ ] Разработать дизайн экрана чата,
157113908,tfAmkvho,Разобраться с Docker,,2023-04-19T08:46:31+00:00,2023-04-24T06:10:34+00:00,1,,2023-04-19T08:46:31+00:00,Денис Карташов,В процессе,BoardGameMeet,,,
156493555,vqg5Ysxy,Создание БД,,2023-04-10T17:31:08+00:00,2023-04-24T06:48:08+00:00,1,2023-04-25T18:00:00+00:00,2023-04-10T17:31:08+00:00,Денис Карташов,В процессе,BoardGameMeet,,,
154458061,2VebG2iW,Составить диаграммы UML,,2023-03-12T14:46:13+00:00,2023-03-13T08:47:01+00:00,2,2023-03-19T18:00:00+00:00,2023-03-13T08:47:01+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,Контрольный список: [x] Sequence [x] Use Case,
157135068,yDbbIyS6,Создание продакшн макетов в Figma,,2023-04-19T12:20:56+00:00,2023-04-24T18:50:50+00:00,2,,2023-04-24T18:50:50+00:00,Иван Корольков,Завершённые,BoardGameMeet,,,
156493474,jGJgwWEE,Подключить Swagger,,2023-04-10T17:29:20+00:00,2023-04-16T21:33:40+00:00,2,2023-04-17T18:00:00+00:00,2023-04-16T21:33:36+00:00,Vadim Egorov,Завершённые,BoardGameMeet,,,
154458145,8xsl386s,Составить Readme,,2023-03-12T14:50:11+00:00,2023-03-20T17:12:55+00:00,2,2023-03-25T09:00:00+00:00,2023-03-20T17:12:55+00:00,,Завершённые,BoardGameMeet,вся команда,,
154458129,450Ht3gM,Начать Курсовую работу,,2023-03-12T14:49:17+00:00,2023-03-24T17:30:10+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T17:30:10+00:00,,Завершённые,BoardGameMeet,вся команда,Контрольный список: [x] Содержание [x] Введение [x] Постановка задачи [x] Обзор аналогов,
154842376,4u7IWRXM,Составить Object diagram,,2023-03-16T19:19:28+00:00,2023-03-24T15:50:51+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T15:50:51+00:00,Vadim Egorov,Завершённые,BoardGameMeet,,,
154458487,fCVGtI35,Idef0,,2023-03-12T15:00:31+00:00,2023-03-22T19:09:26+00:00,2,2023-03-25T18:00:00+00:00,2023-03-22T19:09:26+00:00,,Завершённые,BoardGameMeet,вся команда,,
154458475,wka0xnUR,Диаграмма класса,,2023-03-12T14:59:49+00:00,2023-03-21T14:44:04+00:00,2,2023-03-25T09:00:00+00:00,2023-03-21T14:44:04+00:00,Vadim Egorov,Завершённые,BoardGameMeet,,,
154842428,t0klx0kw,Составить Collaboration diagram,,2023-03-16T19:20:35+00:00,2023-03-16T20:11:26+00:00,2,2023-03-22T18:00:00+00:00,2023-03-16T20:11:22+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
155057764,x7COxRoB,Создать иконку приложения,,2023-03-20T16:26:40+00:00,2023-03-20T17:55:30+00:00,2,2023-03-25T18:00:00+00:00,2023-03-20T17:53:43+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
154457999,3FAw5vTK,Составить UserStory приложения,,2023-03-12T14:43:36+00:00,2023-03-19T22:25:52+00:00,2,2023-03-25T17:00:00+00:00,2023-03-19T22:25:52+00:00,,Завершённые,BoardGameMeet,вся команда,Контрольный список: ,
154458473,4OWq653x,Activity,,2023-03-12T14:59:46+00:00,2023-03-20T16:34:21+00:00,2,2023-03-25T09:00:00+00:00,2023-03-20T16:34:21+00:00,Иван Корольков,Завершённые,BoardGameMeet,,,
154842369,b13cZge2,Составить Statechart diagram,,2023-03-16T19:19:18+00:00,2023-03-22T19:44:48+00:00,2,2023-03-25T18:00:00+00:00,2023-03-22T19:44:48+00:00,Денис Карташов,Завершённые,BoardGameMeet,,,
155057743,uzD4A2Dq,Создать логотип приложения,,2023-03-20T16:26:18+00:00,2023-03-20T17:12:16+00:00,2,2023-03-25T18:00:00+00:00,2023-03-20T17:12:10+00:00,Денис Корчагин,Завершённые,BoardGameMeet,,,
154458124,fb7jCvLx,Составить Техническое Задание,,2023-03-12T14:48:57+00:00,2023-03-24T17:44:35+00:00,2,2023-03-24T18:00:00+00:00,2023-03-24T17:44:35+00:00,,Завершённые,BoardGameMeet,вся команда,"Контрольный список: [x] Термины, используемые в техническом задании [x] Общие положения [x] Назначение и цели создания приложения [x] Требования к системе [x] Структура приложения [x] Языковые версии приложения [x] Группы пользователей [x] Дизайн приложения [x] Навигация по приложению [x] Описания экранов приложения [x] Функционал приложения [x] Контент и наполнение приложения [x] Дополнительная информация [x] Порядок контроля и приемки работ [x] Реквизиты и подписи сторон",
